A,"Agriculture, Forestry and Fishing",Rolling mean employees,a_0,2011,
A,"Agriculture, Forestry and Fishing",Salaries and wages paid,a_0,2011,
A,"Agriculture, Forestry and Fishing","Sales,a_0,2011,
A,"Agriculture, Forestry and Fishing",Total income,a_0,2011,
A,"Agriculture, Forestry and Fishing",Total expenditure,a_0,2011,
A,"Agriculture, Forestry and Fishing",Operating profit before tax,a_0,2011,
A,"Agriculture, Forestry and Fishing",Total assets,a_0,2011,
A,"Agriculture, Forestry and Fishing",Fixed tangible assets,a_0,2011,
A,"Agriculture, Forestry and Fishing",Activity unit,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Rolling mean employees,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Salaries and wages paid,b_1-5,2011,
A,"Agriculture, Forestry and Fishing","Sales,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Total income,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Total expenditure,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Operating profit before tax,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Total assets,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Fixed tangible assets,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",Activity unit,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Rolling mean employees,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Salaries and wages paid,c_6-9,2011,
A,"Agriculture, Forestry and Fishing","Sales,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Total income,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Total expenditure,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Operating profit before tax,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Total assets,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Fixed tangible assets,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",Activity unit,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",Rolling mean employees,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",Salaries and wages paid,d_10-19,2011,
A,"Agriculture, Forestry and Fishing","Sales,d_10-19,2011,
