A,"Agriculture, Forestry and Fishing",0,Rolling mean employees,a_0,2011,
A,"Agriculture, Forestry and Fishing",279,Salaries and wages paid,a_0,2011,
A,"Agriculture, Forestry and Fishing", government funding,"Sales,a_0,2011,
A,"Agriculture, Forestry and Fishing",8866,Total income,a_0,2011,
A,"Agriculture, Forestry and Fishing",7618,Total expenditure,a_0,2011,
A,"Agriculture, Forestry and Fishing",770,Operating profit before tax,a_0,2011,
A,"Agriculture, Forestry and Fishing",55700,Total assets,a_0,2011,
A,"Agriculture, Forestry and Fishing",32155,Fixed tangible assets,a_0,2011,
A,"Agriculture, Forestry and Fishing",21777,Activity unit,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",38136,Rolling mean employees,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",1435,Salaries and wages paid,b_1-5,2011,
A,"Agriculture, Forestry and Fishing", government funding,"Sales,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",13771,Total income,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",12316,Total expenditure,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",1247,Operating profit before tax,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",52666,Total assets,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",31235,Fixed tangible assets,b_1-5,2011,
A,"Agriculture, Forestry and Fishing",1965,Activity unit,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",13848,Rolling mean employees,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",467,Salaries and wages paid,c_6-9,2011,
A,"Agriculture, Forestry and Fishing", government funding,"Sales,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",3114,Total income,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",2895,Total expenditure,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",223,Operating profit before tax,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",9323,Total assets,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",5482,Fixed tangible assets,c_6-9,2011,
A,"Agriculture, Forestry and Fishing",1140,Activity unit,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",14850,Rolling mean employees,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",477,Salaries and wages paid,d_10-19,2011,
A,"Agriculture, Forestry and Fishing", government funding,"Sales,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",2438,Total income,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",2344,Total expenditure,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",126,Operating profit before tax,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",6524,Total assets,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",3649,Fixed tangible assets,d_10-19,2011,
A,"Agriculture, Forestry and Fishing",480,Activity unit,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",13983,Rolling mean employees,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",410,Salaries and wages paid,e_20-49,2011,
A,"Agriculture, Forestry and Fishing", government funding,"Sales,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",1885,Total income,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",1773,Total expenditure,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",80,Operating profit before tax,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",3984,Total assets,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",1676,Fixed tangible assets,e_20-49,2011,
A,"Agriculture, Forestry and Fishing",111,Activity unit,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",7419,Rolling mean employees,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",200,Salaries and wages paid,f_50-99,2011,
A,"Agriculture, Forestry and Fishing", government funding,"Sales,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",1170,Total income,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",1056,Total expenditure,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",39,Operating profit before tax,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",2067,Total assets,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",930,Fixed tangible assets,f_50-99,2011,
A,"Agriculture, Forestry and Fishing",27,Activity unit,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",3522,Rolling mean employees,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",86,Salaries and wages paid,g_100-199,2011,
A,"Agriculture, Forestry and Fishing", government funding,"Sales,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",364,Total income,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",333,Total expenditure,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",37,Operating profit before tax,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",807,Total assets,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",C,Fixed tangible assets,g_100-199,2011,
A,"Agriculture, Forestry and Fishing",15,Activity unit,h_200+,2011,
